Time,Category,Price,ID,Fee,StrikePrice,FutPrice,Date,ProductCode,SettlementPrice,SettlementDate,DateTime,SelectedStrikePrice,SelectedPrice,Delta,Vega,NewPrice,NewDate,NumMatchingTrades,Intrinsic_Value,PnL_Early_Close,PnL_Settlement
2024-02-01 04:05:00,C,7.0,TX118600B4,11.0,18600.0,17917.0,2024-02-01,202402W1,18632,2024-02-15,40500,18500.0,10.8125,0.06757676516693542,4.641708631314661,12.533774834437086,2024-02-01,151,132.0,62.89642798013242,6017.834375
2024-02-01 04:10:00,C,14.5,TX118450B4,12.0,18450.0,17910.0,2024-02-01,202402W1,18632,2024-02-15,41000,18550.0,8.0,0.0533922437999364,3.8634289097552887,9.016666666666667,2024-02-01,24,82.0,27.98250000000005,3658.6
2024-02-01 04:10:00,C,14.5,TX118450B4,12.0,18450.0,17913.0,2024-02-01,202402W1,18632,2024-02-15,41000,18550.0,8.0,0.0533922437999364,3.8634289097552887,9.016666666666667,2024-02-01,24,82.0,27.98250000000005,3658.6
2024-02-23 04:52:00,P,6.4,TX418500N4,11.0,18500.0,18994.0,2024-02-23,202402W4,18993,2024-02-29,45200,18600.0,10.648936170212766,-0.07820116367732302,3.6663162720313247,11.255344418052257,2024-02-23,421,0.0,7.2251983625612475,-573.9792553191489
2024-03-09 04:46:00,P,3.3,TX218850O4,11.0,18850.0,19744.0,2024-03-09,202403W2,19931,2024-03-13,44600,19100.0,11.0,-0.0591941591709082,2.546240289942883,9.682432432432432,2024-03-11,148,0.0,-88.91250000000007,-592.55
2024-03-13 04:45:00,P,0.4,TX219300O4,11.0,19300.0,19993.0,2024-03-13,202403W2,19931,2024-03-13,44500,19800.0,7.0774193548387085,-0.10010399392486254,1.1070403414551535,4.25395809080326,2024-03-13,1718,0.0,-163.73963207405453,-396.2248387096774
2024-04-17 04:05:00,C,0.7,TXO20450D4,11.0,20450.0,19927.0,2024-04-17,202404,20238,2024-04-17,40500,20150.0,7.809090909090911,0.09686384872213744,1.1172732955222768,8.139864864864863,2024-04-17,1332,88.0,-6.258750000000148,3967.1549999999997
2024-04-17 04:11:00,C,0.7,TXO20450D4,11.0,20450.0,19926.0,2024-04-17,202404,20238,2024-04-17,41100,20150.0,7.966666666666666,0.09837910124820574,1.1248940804480998,8.139864864864863,2024-04-17,1332,88.0,-14.145416666666698,3959.268333333333
2024-04-17 04:36:00,C,0.7,TXO20450D4,11.0,20450.0,19930.0,2024-04-17,202404,20238,2024-04-17,43600,20100.0,12.875,0.15182927259746418,1.489015364435828,15.581491228070176,2024-04-17,2280,138.0,111.90173684210534,6213.60625
2024-04-17 04:39:00,C,0.7,TXO20450D4,11.0,20450.0,19929.0,2024-04-17,202404,20238,2024-04-17,43900,20150.0,7.3,0.094945631227295,1.065960058128807,8.139864864864863,2024-04-17,1332,88.0,19.221249999999948,3992.635
2024-04-17 04:43:00,C,0.7,TXO20450D4,11.0,20450.0,19931.0,2024-04-17,202404,20238,2024-04-17,44300,20150.0,7.452173913043478,0.09566525484217574,1.0695191315589574,8.139864864864863,2024-04-17,1332,88.0,11.604945652173841,3985.018695652174
2024-04-17 04:44:00,C,0.7,TXO20450D4,11.0,20450.0,19930.0,2024-04-17,202404,20238,2024-04-17,44400,20150.0,7.466666666666667,0.09573379042454529,1.0698580909332573,8.139864864864863,2024-04-17,1332,88.0,10.879583333333303,3984.293333333333
2024-04-17 04:46:00,C,0.6,TXO20450D4,11.0,20450.0,19930.0,2024-04-17,202404,20238,2024-04-17,44600,20150.0,7.466666666666667,0.09512549747552337,1.0608269380971156,8.139864864864863,2024-04-17,1332,88.0,10.879583333333303,3984.293333333333
2024-06-26 04:27:00,P,1.5,TX422300R4,11.0,22300.0,22810.0,2024-06-26,202406W4,22965,2024-06-26,42700,22650.0,10.976190476190476,-0.10641524840743835,1.3500617252022622,7.863829787234042,2024-06-26,940,0.0,-178.56003546099296,-594.3583333333333
2024-07-24 04:40:00,C,5.8,TX423250G4,11.0,23250.0,22714.0,2024-07-24,202407W4,22069,2024-07-26,44000,23200.0,8.891666666666667,0.0691544133658093,2.436894485771542,0.8674121405750799,2024-07-26,313,0.0,-423.7006802449415,-489.0279166666667
2024-07-24 04:40:00,C,2.7,TX423350G4,11.0,23350.0,22711.0,2024-07-24,202407W4,22069,2024-07-26,44000,23200.0,8.891666666666667,0.0691544133658093,2.436894485771542,0.8674121405750799,2024-07-26,313,0.0,-423.7006802449415,-489.0279166666667
2024-07-24 04:40:00,C,4.0,TX423300G4,11.0,23300.0,22711.0,2024-07-24,202407W4,22069,2024-07-26,44000,23200.0,8.891666666666667,0.0691544133658093,2.436894485771542,0.8674121405750799,2024-07-26,313,0.0,-423.7006802449415,-489.0279166666667
2024-07-24 04:41:00,C,4.0,TX423300G4,11.0,23300.0,22698.0,2024-07-24,202407W4,22069,2024-07-26,44100,23200.0,8.857142857142858,0.06897870041528296,2.431444555745995,0.8674121405750799,2024-07-26,313,0.0,-421.9727635782748,-487.3
2024-07-24 04:41:00,C,4.0,TX423300G4,11.0,23300.0,22700.0,2024-07-24,202407W4,22069,2024-07-26,44100,23200.0,8.857142857142858,0.06897870041528296,2.431444555745995,0.8674121405750799,2024-07-26,313,0.0,-421.9727635782748,-487.3
2024-07-24 04:41:00,C,4.0,TX423300G4,11.0,23300.0,22700.0,2024-07-24,202407W4,22069,2024-07-26,44100,23200.0,8.857142857142858,0.06897870041528296,2.431444555745995,0.8674121405750799,2024-07-26,313,0.0,-421.9727635782748,-487.3
2024-07-24 04:41:00,C,1.5,TX423400G4,11.0,23400.0,22697.0,2024-07-24,202407W4,22069,2024-07-26,44100,23200.0,8.857142857142858,0.06897870041528296,2.431444555745995,0.8674121405750799,2024-07-26,313,0.0,-421.9727635782748,-487.3
2024-07-24 04:41:00,C,1.5,TX423400G4,11.0,23400.0,22697.0,2024-07-24,202407W4,22069,2024-07-26,44100,23200.0,8.857142857142858,0.06897870041528296,2.431444555745995,0.8674121405750799,2024-07-26,313,0.0,-421.9727635782748,-487.3
2024-07-24 04:41:00,C,1.0,TX423450G4,10.66666667,23450.0,22696.0,2024-07-24,202407W4,22069,2024-07-26,44100,23200.0,8.857142857142858,0.06897870041528296,2.431444555745995,0.8674121405750799,2024-07-26,313,0.0,-421.9727635782748,-487.3
2024-07-24 04:41:00,C,1.0,TX423450G4,10.66666667,23450.0,22696.0,2024-07-24,202407W4,22069,2024-07-26,44100,23200.0,8.857142857142858,0.06897870041528296,2.431444555745995,0.8674121405750799,2024-07-26,313,0.0,-421.9727635782748,-487.3
2024-07-24 04:41:00,C,1.0,TX423450G4,10.66666667,23450.0,22696.0,2024-07-24,202407W4,22069,2024-07-26,44100,23200.0,8.857142857142858,0.06897870041528296,2.431444555745995,0.8674121405750799,2024-07-26,313,0.0,-421.9727635782748,-487.3
2024-07-24 04:41:00,C,5.6,TX423250G4,11.0,23250.0,22701.0,2024-07-24,202407W4,22069,2024-07-26,44100,23200.0,8.857142857142858,0.06897870041528296,2.431444555745995,0.8674121405750799,2024-07-26,313,0.0,-421.9727635782748,-487.3
2024-07-24 04:41:00,C,5.6,TX423250G4,11.0,23250.0,22701.0,2024-07-24,202407W4,22069,2024-07-26,44100,23200.0,8.857142857142858,0.06897870041528296,2.431444555745995,0.8674121405750799,2024-07-26,313,0.0,-421.9727635782748,-487.3
2024-07-24 04:41:00,C,5.6,TX423250G4,11.0,23250.0,22701.0,2024-07-24,202407W4,22069,2024-07-26,44100,23200.0,8.857142857142858,0.06897870041528296,2.431444555745995,0.8674121405750799,2024-07-26,313,0.0,-421.9727635782748,-487.3
2024-07-30 04:31:00,P,51.0,TX521600S4,13.5,21600.0,22034.0,2024-07-30,202407W5,22239,2024-07-31,43100,21200.0,12.5,-0.0544766091708162,1.4980898698171676,11.835164835164836,2024-07-30,182,0.0,-56.45851648351652,-669.625
2024-07-30 04:31:00,P,51.0,TX521600S4,13.5,21600.0,22034.0,2024-07-30,202407W5,22239,2024-07-31,43100,21200.0,12.5,-0.0544766091708162,1.4980898698171676,11.835164835164836,2024-07-30,182,0.0,-56.45851648351652,-669.625
2024-07-30 04:31:00,P,26.5,TX521400S4,12.0,21400.0,22033.0,2024-07-30,202407W5,22239,2024-07-31,43100,21200.0,12.5,-0.0544766091708162,1.4980898698171676,11.835164835164836,2024-07-30,182,0.0,-56.45851648351652,-669.625
2024-07-30 04:31:00,P,26.0,TX521400S4,12.0,21400.0,22033.0,2024-07-30,202407W5,22239,2024-07-31,43100,21200.0,12.5,-0.0544766091708162,1.4980898698171676,11.835164835164836,2024-07-30,182,0.0,-56.45851648351652,-669.625
2024-08-01 04:05:00,C,82.0,TX123100H4,15.0,23100.0,22642.0,2024-08-01,202408W1,21239,2024-08-07,40500,23700.0,9.61111111111111,0.040520844672133356,2.6040793795673647,12.15948275862069,2024-08-01,116,0.0,104.33005268199241,-524.0361111111112
2024-08-02 04:00:00,P,149.0,TX121800T4,18.0,21800.0,22126.0,2024-08-02,202408W1,21239,2024-08-07,40000,20600.0,12.5,-0.03387915564461148,2.030284347936312,17.06766917293233,2024-08-02,133,0.0,204.90507518796994,-668.625
2024-08-02 04:00:00,P,149.0,TX121800T4,18.0,21800.0,22131.0,2024-08-02,202408W1,21239,2024-08-07,40000,20600.0,12.5,-0.03387915564461148,2.030284347936312,17.06766917293233,2024-08-02,133,0.0,204.90507518796994,-668.625
2024-08-02 04:01:00,P,121.0,TX121700T4,17.0,21700.0,22126.0,2024-08-02,202408W1,21239,2024-08-07,40100,20600.0,12.5,-0.03387915564461148,2.030284347936312,17.06766917293233,2024-08-02,133,0.0,204.90507518796994,-668.625
2024-08-02 04:01:00,P,141.0,TX121800T4,18.0,21800.0,22167.0,2024-08-02,202408W1,21239,2024-08-07,40100,20600.0,12.5,-0.03387915564461148,2.030284347936312,17.06766917293233,2024-08-02,133,0.0,204.90507518796994,-668.625
2024-08-02 04:01:00,P,91.0,TX121600T4,16.0,21600.0,22157.0,2024-08-02,202408W1,21239,2024-08-07,40100,20600.0,12.5,-0.03387915564461148,2.030284347936312,17.06766917293233,2024-08-02,133,0.0,204.90507518796994,-668.625
2024-08-02 04:01:00,P,134.0,TX121750T4,18.0,21750.0,22156.0,2024-08-02,202408W1,21239,2024-08-07,40100,20600.0,12.5,-0.03387915564461148,2.030284347936312,17.06766917293233,2024-08-02,133,0.0,204.90507518796994,-668.625
2024-08-02 04:01:00,P,104.0,TX121650T4,16.0,21650.0,22156.0,2024-08-02,202408W1,21239,2024-08-07,40100,20600.0,12.5,-0.03387915564461148,2.030284347936312,17.06766917293233,2024-08-02,133,0.0,204.90507518796994,-668.625
2024-08-02 04:06:00,P,82.0,TX121550T4,15.0,21550.0,22137.0,2024-08-02,202408W1,21239,2024-08-07,40600,20600.0,10.5,-0.02987372699520565,1.8291096781728928,17.06766917293233,2024-08-02,133,0.0,305.00507518796996,-568.525
