Time,Category,Price,ID,Fee,StrikePrice,FutPrice,Date,ProductCode,SettlementPrice,SettlementDate,DateTime,AtTheMoneyStrikePrice,AtTheMoneyPrice,Delta,Vega,NewPrice,NewDate,NumMatchingTrades,Intrinsic_Value,PnL_Early_Close,PnL_Settlement
2024-02-01 04:05:00,C,7.0,TX118600B4,11.0,18600.0,17917.0,2024-02-01,202402W1,18632,2024-02-15,40500,17900.0,152.03703703703704,0.5286483070906501,14.156193656230855,193.74193548387098,2024-02-01,155,732.0,2045.9559737156508,28949.546296296296
2024-02-01 04:10:00,C,14.5,TX118450B4,12.0,18450.0,17910.0,2024-02-01,202402W1,18632,2024-02-15,41000,17950.0,133.11111111111111,0.4664347140958178,14.133227397288714,164.244019138756,2024-02-01,209,682.0,1519.77764486975,27396.78888888889
2024-02-01 04:10:00,C,14.5,TX118450B4,12.0,18450.0,17913.0,2024-02-01,202402W1,18632,2024-02-15,41000,17950.0,133.11111111111111,0.4664347140958178,14.133227397288714,164.244019138756,2024-02-01,209,682.0,1519.77764486975,27396.78888888889
2024-02-23 04:52:00,P,6.4,TX418500N4,11.0,18500.0,18994.0,2024-02-23,202402W4,18993,2024-02-29,45200,19000.0,103.52941176470588,-0.4950251793297184,10.008935230205166,116.727969348659,2024-02-23,522,7.0,626.9150101419872,-4872.64705882353
2024-03-09 04:46:00,P,3.3,TX218850O4,11.0,18850.0,19744.0,2024-03-09,202403W2,19931,2024-03-13,44600,19750.0,134.9375,-0.5143863222921425,8.610636363846911,148.40639269406392,2024-03-11,438,0.0,637.2774400684928,-6795.621875
2024-03-13 04:45:00,P,0.4,TX219300O4,11.0,19300.0,19993.0,2024-03-13,202403W2,19931,2024-03-13,44500,20000.0,60.55172413793103,-0.5327966461965761,2.505126479333039,43.17254993032977,2024-03-13,2153,69.0,-896.1449240834763,377.3862068965518
2024-04-17 04:05:00,C,0.7,TXO20450D4,11.0,20450.0,19927.0,2024-04-17,202404,20238,2024-04-17,40500,19950.0,55.0,0.44214440935345284,2.5725501817377263,73.8987517337032,2024-04-17,2163,288.0,916.4926490984744,11605.25
2024-04-17 04:11:00,C,0.7,TXO20450D4,11.0,20450.0,19926.0,2024-04-17,202404,20238,2024-04-17,41100,19950.0,55.53846153846154,0.4443261872328486,2.563389507339288,73.8987517337032,2024-04-17,2163,288.0,889.5426490984743,11578.3
2024-04-17 04:36:00,C,0.7,TXO20450D4,11.0,20450.0,19930.0,2024-04-17,202404,20238,2024-04-17,43600,19950.0,55.46153846153846,0.4514985048276791,2.5079785278285893,73.8987517337032,2024-04-17,2163,288.0,893.3926490984746,11582.150000000001
2024-04-17 04:39:00,C,0.7,TXO20450D4,11.0,20450.0,19929.0,2024-04-17,202404,20238,2024-04-17,43900,19950.0,55.72,0.45317884260347396,2.504141741103433,73.8987517337032,2024-04-17,2163,288.0,880.4566490984745,11569.214
2024-04-17 04:43:00,C,0.7,TXO20450D4,11.0,20450.0,19931.0,2024-04-17,202404,20238,2024-04-17,44300,19950.0,55.0,0.45144872117954576,2.4939841525136752,73.8987517337032,2024-04-17,2163,288.0,916.4926490984744,11605.25
2024-04-17 04:44:00,C,0.7,TXO20450D4,11.0,20450.0,19930.0,2024-04-17,202404,20238,2024-04-17,44400,19950.0,55.0,0.45067651747325543,2.492420631478816,73.8987517337032,2024-04-17,2163,288.0,916.4926490984744,11605.25
2024-04-17 04:46:00,C,0.6,TXO20450D4,11.0,20450.0,19930.0,2024-04-17,202404,20238,2024-04-17,44600,19950.0,54.1764705882353,0.4460612051093233,2.479499087229896,73.8987517337032,2024-04-17,2163,288.0,957.7102961572978,11646.467647058822
2024-06-26 04:27:00,P,1.5,TX422300R4,11.0,22300.0,22810.0,2024-06-26,202406W4,22965,2024-06-26,42700,22800.0,30.857142857142858,-0.26926573924541786,2.4266895175458285,27.336712328767124,2024-06-26,1825,0.0,-200.93121917808202,-1589.4
2024-07-24 04:40:00,C,5.8,TX423250G4,11.0,23250.0,22714.0,2024-07-24,202407W4,22069,2024-07-26,44000,22700.0,154.94117647058823,0.5660186969244894,7.209190472543895,2.923277909738718,2024-07-26,421,0.0,-7630.788150761492,-7798.805882352941
2024-07-24 04:40:00,C,2.7,TX423350G4,11.0,23350.0,22711.0,2024-07-24,202407W4,22069,2024-07-26,44000,22700.0,154.94117647058823,0.5660186969244894,7.209190472543895,2.923277909738718,2024-07-26,421,0.0,-7630.788150761492,-7798.805882352941
2024-07-24 04:40:00,C,4.0,TX423300G4,11.0,23300.0,22711.0,2024-07-24,202407W4,22069,2024-07-26,44000,22700.0,154.94117647058823,0.5660186969244894,7.209190472543895,2.923277909738718,2024-07-26,421,0.0,-7630.788150761492,-7798.805882352941
2024-07-24 04:41:00,C,4.0,TX423300G4,11.0,23300.0,22698.0,2024-07-24,202407W4,22069,2024-07-26,44100,22700.0,157.5,0.5648221136479086,7.21228777548504,2.923277909738718,2024-07-26,421,0.0,-7758.857268408551,-7926.875
2024-07-24 04:41:00,C,4.0,TX423300G4,11.0,23300.0,22700.0,2024-07-24,202407W4,22069,2024-07-26,44100,22700.0,157.5,0.5648221136479086,7.21228777548504,2.923277909738718,2024-07-26,421,0.0,-7758.857268408551,-7926.875
2024-07-24 04:41:00,C,4.0,TX423300G4,11.0,23300.0,22700.0,2024-07-24,202407W4,22069,2024-07-26,44100,22700.0,157.5,0.5648221136479086,7.21228777548504,2.923277909738718,2024-07-26,421,0.0,-7758.857268408551,-7926.875
2024-07-24 04:41:00,C,1.5,TX423400G4,11.0,23400.0,22697.0,2024-07-24,202407W4,22069,2024-07-26,44100,22700.0,157.5,0.5648221136479086,7.21228777548504,2.923277909738718,2024-07-26,421,0.0,-7758.857268408551,-7926.875
2024-07-24 04:41:00,C,1.5,TX423400G4,11.0,23400.0,22697.0,2024-07-24,202407W4,22069,2024-07-26,44100,22700.0,157.5,0.5648221136479086,7.21228777548504,2.923277909738718,2024-07-26,421,0.0,-7758.857268408551,-7926.875
2024-07-24 04:41:00,C,1.0,TX423450G4,10.66666667,23450.0,22696.0,2024-07-24,202407W4,22069,2024-07-26,44100,22700.0,157.5,0.5648221136479086,7.21228777548504,2.923277909738718,2024-07-26,421,0.0,-7758.857268408551,-7926.875
2024-07-24 04:41:00,C,1.0,TX423450G4,10.66666667,23450.0,22696.0,2024-07-24,202407W4,22069,2024-07-26,44100,22700.0,157.5,0.5648221136479086,7.21228777548504,2.923277909738718,2024-07-26,421,0.0,-7758.857268408551,-7926.875
2024-07-24 04:41:00,C,1.0,TX423450G4,10.66666667,23450.0,22696.0,2024-07-24,202407W4,22069,2024-07-26,44100,22700.0,157.5,0.5648221136479086,7.21228777548504,2.923277909738718,2024-07-26,421,0.0,-7758.857268408551,-7926.875
2024-07-24 04:41:00,C,5.6,TX423250G4,11.0,23250.0,22701.0,2024-07-24,202407W4,22069,2024-07-26,44100,22700.0,157.5,0.5648221136479086,7.21228777548504,2.923277909738718,2024-07-26,421,0.0,-7758.857268408551,-7926.875
2024-07-24 04:41:00,C,5.6,TX423250G4,11.0,23250.0,22701.0,2024-07-24,202407W4,22069,2024-07-26,44100,22700.0,157.5,0.5648221136479086,7.21228777548504,2.923277909738718,2024-07-26,421,0.0,-7758.857268408551,-7926.875
2024-07-24 04:41:00,C,5.6,TX423250G4,11.0,23250.0,22701.0,2024-07-24,202407W4,22069,2024-07-26,44100,22700.0,157.5,0.5648221136479086,7.21228777548504,2.923277909738718,2024-07-26,421,0.0,-7758.857268408551,-7926.875
2024-07-30 04:31:00,P,51.0,TX521600S4,13.5,21600.0,22034.0,2024-07-30,202407W5,22239,2024-07-31,43100,22050.0,184.28571428571428,-0.5121023814796447,5.408190976654282,193.50714285714287,2024-07-30,140,0.0,420.1817857142856,-9267.5
2024-07-30 04:31:00,P,51.0,TX521600S4,13.5,21600.0,22034.0,2024-07-30,202407W5,22239,2024-07-31,43100,22050.0,184.28571428571428,-0.5121023814796447,5.408190976654282,193.50714285714287,2024-07-30,140,0.0,420.1817857142856,-9267.5
2024-07-30 04:31:00,P,26.5,TX521400S4,12.0,21400.0,22033.0,2024-07-30,202407W5,22239,2024-07-31,43100,22050.0,184.28571428571428,-0.5121023814796447,5.408190976654282,193.50714285714287,2024-07-30,140,0.0,420.1817857142856,-9267.5
2024-07-30 04:31:00,P,26.0,TX521400S4,12.0,21400.0,22033.0,2024-07-30,202407W5,22239,2024-07-31,43100,22050.0,184.28571428571428,-0.5121023814796447,5.408190976654282,193.50714285714287,2024-07-30,140,0.0,420.1817857142856,-9267.5
2024-08-01 04:05:00,C,82.0,TX123100H4,15.0,23100.0,22642.0,2024-08-01,202408W1,21239,2024-08-07,40500,22650.0,254.0,0.4818354018152544,11.927764543753064,289.4017094017094,2024-08-01,117,0.0,1720.9153846153847,-12755.7
2024-08-02 04:00:00,P,149.0,TX121800T4,18.0,21800.0,22126.0,2024-08-02,202408W1,21239,2024-08-07,40000,22150.0,284.0,-0.4939874970317994,10.749533509377066,406.26732673267327,2024-08-02,101,911.0,6056.852970297027,31292.8
2024-08-02 04:00:00,P,149.0,TX121800T4,18.0,21800.0,22131.0,2024-08-02,202408W1,21239,2024-08-07,40000,22150.0,284.0,-0.4939874970317994,10.749533509377066,406.26732673267327,2024-08-02,101,911.0,6056.852970297027,31292.8
2024-08-02 04:01:00,P,121.0,TX121700T4,17.0,21700.0,22126.0,2024-08-02,202408W1,21239,2024-08-07,40100,22150.0,284.0,-0.4939874970317994,10.749533509377066,406.26732673267327,2024-08-02,101,911.0,6056.852970297027,31292.8
2024-08-02 04:01:00,P,141.0,TX121800T4,18.0,21800.0,22167.0,2024-08-02,202408W1,21239,2024-08-07,40100,22150.0,284.0,-0.4939874970317994,10.749533509377066,406.26732673267327,2024-08-02,101,911.0,6056.852970297027,31292.8
2024-08-02 04:01:00,P,91.0,TX121600T4,16.0,21600.0,22157.0,2024-08-02,202408W1,21239,2024-08-07,40100,22150.0,284.0,-0.4939874970317994,10.749533509377066,406.26732673267327,2024-08-02,101,911.0,6056.852970297027,31292.8
2024-08-02 04:01:00,P,134.0,TX121750T4,18.0,21750.0,22156.0,2024-08-02,202408W1,21239,2024-08-07,40100,22150.0,284.0,-0.4939874970317994,10.749533509377066,406.26732673267327,2024-08-02,101,911.0,6056.852970297027,31292.8
