,IAccountID,BS,CommodityId,TradeDate,TradeTime,Qty,Price
73,PCP,B,TXO18300A4,2024/1/3,2024/1/3 08:50,4,18.5
74,PCP,B,TXO18300A4,2024/1/3,2024/1/3 08:50,4,18.5
75,PCP,S,TXO18300M4,2024/1/3,2024/1/3 08:50,2,675
76,PCP,S,MXFA4,2024/1/3,2024/1/3 08:50,2,17647
77,PCP,B,TXO18300A4,2024/1/3,2024/1/3 08:50,2,18.5
78,PCP,B,MXFA4,2024/1/3,2024/1/3 09:07,1,17620
79,PCP,S,TXO18300A4,2024/1/3,2024/1/3 09:07,1,16
80,PCP,B,TXO18300M4,2024/1/3,2024/1/3 09:07,1,690
81,PCP,S,TXO18100M4,2024/1/3,2024/1/3 09:27,4,550
82,PCP,S,MXFA4,2024/1/3,2024/1/3 09:27,4,17591
83,PCP,B,TXO18100A4,2024/1/3,2024/1/3 09:27,4,37
84,PCP,S,MXFA4,2024/1/3,2024/1/3 09:52,1,17612
85,PCP,B,TXO18400A4,2024/1/3,2024/1/3 09:52,1,11
86,PCP,S,TXO18400M4,2024/1/3,2024/1/3 09:52,1,805
87,PCP,B,MXFA4,2024/1/3,2024/1/3 09:58,1,17593
88,PCP,B,TXO17000M4,2024/1/3,2024/1/3 09:58,1,37.5
89,PCP,S,TXO17000A4,2024/1/3,2024/1/3 09:58,1,635
90,PCP,S,MXFA4,2024/1/3,2024/1/3 10:15,1,17571
91,PCP,B,TXO18150A4,2024/1/3,2024/1/3 10:15,1,27.5
92,PCP,S,TXO18150M4,2024/1/3,2024/1/3 10:15,1,610
93,PCP,B,TXO18300M4,2024/1/3,2024/1/3 10:45,1,765
94,PCP,B,MXFA4,2024/1/3,2024/1/3 10:45,1,17544
95,PCP,S,TXO18300A4,2024/1/3,2024/1/3 10:45,1,14
96,PCP,B,MXFA4,2024/1/3,2024/1/3 12:17,1,17560
97,PCP,S,TXO18100A4,2024/1/3,2024/1/3 12:17,1,30.5
98,PCP,B,TXO18100M4,2024/1/3,2024/1/3 12:17,1,565
99,PCP,S,TXO18100M4,2024/1/4,2024/1/4 08:45,1,575
100,PCP,S,MXFA4,2024/1/4,2024/1/4 08:45,1,17558
101,PCP,B,TXO18100A4,2024/1/4,2024/1/4 08:45,1,25
102,PCP,S,MXFA4,2024/1/4,2024/1/4 08:49,4,17536
103,PCP,S,TXO16800M4,2024/1/4,2024/1/4 08:49,4,22.5
104,PCP,B,TXO16800A4,2024/1/4,2024/1/4 08:49,4,760
105,PCP,B,TXO17000A4,2024/1/4,2024/1/4 09:54,1,585
106,PCP,S,MXFA4,2024/1/4,2024/1/4 09:54,1,17552
107,PCP,S,TXO17000M4,2024/1/4,2024/1/4 09:54,1,38.5
108,PCP,S,MXFA4,2024/1/4,2024/1/4 09:55,1,17558
109,PCP,S,TXO17000M4,2024/1/4,2024/1/4 09:55,1,37.5
110,PCP,B,TXO17000A4,2024/1/4,2024/1/4 09:55,1,590
111,PCP,B,TXO17000A4,2024/1/4,2024/1/4 10:04,1,600
112,PCP,S,MXFA4,2024/1/4,2024/1/4 10:04,1,17566
113,PCP,S,TXO17000M4,2024/1/4,2024/1/4 10:04,1,38
114,PCP,S,TXO18400M4,2024/1/4,2024/1/4 11:08,2,855
115,PCP,S,MXFA4,2024/1/4,2024/1/4 11:08,2,17556
116,PCP,B,TXO18400A4,2024/1/4,2024/1/4 11:08,2,6.4
117,PCP,S,MXFA4,2024/1/4,2024/1/4 11:11,2,17561
118,PCP,B,TXO18400A4,2024/1/4,2024/1/4 11:11,2,6.5
119,PCP,S,TXO18400M4,2024/1/4,2024/1/4 11:11,2,850
120,PCP,S,TXO18400M4,2024/1/4,2024/1/4 11:16,1,855
121,PCP,S,MXFA4,2024/1/4,2024/1/4 11:16,1,17556
122,PCP,B,TXO18400A4,2024/1/4,2024/1/4 11:16,1,6.6
123,PCP,S,TXO17000A4,2024/1/5,2024/1/5 10:05,1,550
124,PCP,B,MXFA4,2024/1/5,2024/1/5 10:05,1,17502
125,PCP,B,TXO17000M4,2024/1/5,2024/1/5 10:05,1,43.5
126,PCP,S,TXO18400M4,2024/1/5,2024/1/5 11:15,1,870
127,PCP,S,MXFA4,2024/1/5,2024/1/5 11:15,1,17540
128,PCP,B,TXO18400A4,2024/1/5,2024/1/5 11:15,1,6
129,PCP,S,MXFA4,2024/1/5,2024/1/5 11:15,1,17541
130,PCP,B,TXO18400A4,2024/1/5,2024/1/5 11:15,1,6
131,PCP,S,TXO18400M4,2024/1/5,2024/1/5 11:15,1,870
132,PCP,S,TXO18400M4,2024/1/5,2024/1/5 11:15,1,870
133,PCP,S,MXFA4,2024/1/5,2024/1/5 11:15,1,17541
134,PCP,B,TXO18400A4,2024/1/5,2024/1/5 11:15,1,6.1
135,PCP,S,MXFA4,2024/1/5,2024/1/5 11:15,1,17543
136,PCP,B,TXO18400A4,2024/1/5,2024/1/5 11:15,1,6.1
137,PCP,S,TXO18400M4,2024/1/5,2024/1/5 11:15,1,870
138,PCP,S,TXO18400M4,2024/1/5,2024/1/5 12:31,4,880
139,PCP,S,TXO18400M4,2024/1/5,2024/1/5 12:31,4,880
140,PCP,S,TXO18400M4,2024/1/5,2024/1/5 12:31,4,880
141,PCP,S,TXO18400M4,2024/1/5,2024/1/5 12:31,8,880
142,PCP,S,MXFA4,2024/1/5,2024/1/5 12:31,2,17534
143,PCP,S,MXFA4,2024/1/5,2024/1/5 12:31,2,17533
144,PCP,S,MXFA4,2024/1/5,2024/1/5 12:31,4,17533
145,PCP,S,MXFA4,2024/1/5,2024/1/5 12:31,8,17533
146,PCP,B,TXO18400A4,2024/1/5,2024/1/5 12:31,2,6.3
147,PCP,B,TXO18400A4,2024/1/5,2024/1/5 12:31,1,6.3
148,PCP,B,TXO18400A4,2024/1/5,2024/1/5 12:31,1,6.4
149,PCP,B,TXO18400A4,2024/1/5,2024/1/5 12:31,4,6.4
150,PCP,B,TXO18400A4,2024/1/5,2024/1/5 12:31,8,6.4
151,PCP,S,MXFA4,2024/1/5,2024/1/5 12:31,4,17533
152,PCP,B,TXO18400A4,2024/1/5,2024/1/5 12:31,4,6.4
153,PCP,S,MXFA4,2024/1/5,2024/1/5 13:41,2,17520
154,PCP,S,TXO16900M4,2024/1/5,2024/1/5 13:41,2,30
155,PCP,B,TXO16900A4,2024/1/5,2024/1/5 13:41,2,645
156,PCP,S,MXFA4,2024/1/8,2024/1/8 08:53,2,17610
157,PCP,S,TXO17000M4,2024/1/8,2024/1/8 08:53,2,24.5
158,PCP,B,TXO17000A4,2024/1/8,2024/1/8 08:53,2,630
159,PCP,S,MXFA4,2024/1/8,2024/1/8 09:06,1,17656
160,PCP,S,TXO17000M4,2024/1/8,2024/1/8 09:06,1,22.5
161,PCP,B,TXO17000A4,2024/1/8,2024/1/8 09:06,1,675
162,PCP,B,MXFA4,2024/1/8,2024/1/8 09:30,4,17695
163,PCP,B,TXO17000M4,2024/1/8,2024/1/8 09:30,4,20.5
164,PCP,S,TXO17000A4,2024/1/8,2024/1/8 09:30,4,720
165,PCP,B,TXO17100A4,2024/1/8,2024/1/8 09:37,1,605
166,PCP,S,MXFA4,2024/1/8,2024/1/8 09:37,1,17682
167,PCP,S,TXO17100M4,2024/1/8,2024/1/8 09:37,1,27
168,PCP,B,MXFA4,2024/1/8,2024/1/8 09:39,1,17683
169,PCP,B,TXO17000M4,2024/1/8,2024/1/8 09:39,1,21
170,PCP,S,TXO17000A4,2024/1/8,2024/1/8 09:39,1,710
171,PCP,B,TXO16500A4,2024/1/8,2024/1/8 10:02,2,1110
172,PCP,S,MXFA4,2024/1/8,2024/1/8 10:02,2,17611
173,PCP,S,TXO16500M4,2024/1/8,2024/1/8 10:02,2,7.1
174,PCP,B,MXFA4,2024/1/8,2024/1/8 11:33,1,17599
175,PCP,B,TXO16400M4,2024/1/8,2024/1/8 11:33,1,5.8
176,PCP,S,TXO16400A4,2024/1/8,2024/1/8 11:33,1,1210
177,PCP,B,MXFA4,2024/1/8,2024/1/8 11:41,4,17592
178,PCP,B,TXO17100M4,2024/1/8,2024/1/8 11:41,4,33.5
179,PCP,S,TXO17100A4,2024/1/8,2024/1/8 11:41,4,530
180,PCP,B,TXO16900A4,2024/1/9,2024/1/9 08:48,2,870
181,PCP,S,MXFA4,2024/1/9,2024/1/9 08:48,2,17769
182,PCP,S,TXO16900M4,2024/1/9,2024/1/9 08:48,2,8.9
183,PCP,S,TXO18500M4,2024/1/9,2024/1/9 09:01,1,805
184,PCP,B,TXO18500A4,2024/1/9,2024/1/9 09:01,1,4.3
185,PCP,S,MXFA4,2024/1/9,2024/1/9 09:01,1,17705
186,PCP,S,MXFA4,2024/1/9,2024/1/9 09:07,1,17691
187,PCP,S,TXO16900M4,2024/1/9,2024/1/9 09:07,1,11
188,PCP,B,TXO16900A4,2024/1/9,2024/1/9 09:07,1,795
189,PCP,S,TXO16900A4,2024/1/9,2024/1/9 10:01,1,730
190,PCP,B,MXFA4,2024/1/9,2024/1/9 10:01,1,17609
191,PCP,B,TXO16900M4,2024/1/9,2024/1/9 10:01,1,15
192,PCP,S,MXFA4,2024/1/9,2024/1/9 10:10,1,17557
193,PCP,S,TXO17000M4,2024/1/9,2024/1/9 10:10,1,23
194,PCP,B,TXO17000A4,2024/1/9,2024/1/9 10:10,1,575
195,PCP,B,MXFA4,2024/1/9,2024/1/9 10:12,1,17555
196,PCP,B,TXO16800M4,2024/1/9,2024/1/9 10:12,1,14
197,PCP,S,TXO16800A4,2024/1/9,2024/1/9 10:12,1,775
198,PCP,S,TXO17000A4,2024/1/9,2024/1/9 11:03,1,625
199,PCP,B,MXFA4,2024/1/9,2024/1/9 11:03,1,17598
200,PCP,B,TXO17000M4,2024/1/9,2024/1/9 11:03,1,20.5
201,PCP,B,MXFA4,2024/1/9,2024/1/9 11:43,1,17597
202,PCP,B,TXO17100M4,2024/1/9,2024/1/9 11:43,1,28
203,PCP,S,TXO17100A4,2024/1/9,2024/1/9 11:43,1,530
204,PCP,S,MXFA4,2024/1/9,2024/1/9 12:35,2,17563
205,PCP,B,TXO18200A4,2024/1/9,2024/1/9 12:35,2,9.3
206,PCP,S,TXO18200M4,2024/1/9,2024/1/9 12:35,2,650
207,PCP,B,TXO18100A4,2024/1/11,2024/1/11 09:32,1,8.3
208,PCP,S,TXO18100M4,2024/1/11,2024/1/11 09:32,1,620
209,PCP,S,MXFA4,2024/1/11,2024/1/11 09:32,1,17493
210,PCP,S,MXFA4,2024/1/11,2024/1/11 09:33,1,17492
211,PCP,B,TXO18100A4,2024/1/11,2024/1/11 09:33,1,8.3
212,PCP,S,TXO18100M4,2024/1/11,2024/1/11 09:33,1,620
213,PCP,B,TXO18100A4,2024/1/11,2024/1/11 09:35,1,8.6
214,PCP,S,TXO18100M4,2024/1/11,2024/1/11 09:35,1,615
215,PCP,S,MXFA4,2024/1/11,2024/1/11 09:35,1,17501
216,PCP,S,MXFA4,2024/1/11,2024/1/11 09:36,3,17513
217,PCP,B,TXO18100A4,2024/1/11,2024/1/11 09:36,3,9
218,PCP,S,TXO18100M4,2024/1/11,2024/1/11 09:36,3,600
219,PCP,B,TXO16900A4,2024/1/11,2024/1/11 11:10,1,645
220,PCP,S,MXFA4,2024/1/11,2024/1/11 11:10,1,17530
221,PCP,S,TXO16900M4,2024/1/11,2024/1/11 11:10,1,18.5
222,PCP,S,TXO17050A4,2024/1/11,2024/1/11 11:57,2,575
223,PCP,B,MXFA4,2024/1/11,2024/1/11 11:57,2,17595
224,PCP,B,TXO17050M4,2024/1/11,2024/1/11 11:57,2,26
225,PCP,B,TXO18150M4,2024/1/11,2024/1/11 11:58,4,560
226,PCP,B,TXO18150M4,2024/1/11,2024/1/11 11:58,4,560
227,PCP,B,MXFA4,2024/1/11,2024/1/11 11:58,4,17596
228,PCP,S,TXO18150A4,2024/1/11,2024/1/11 11:58,4,10.5
229,PCP,B,MXFA4,2024/1/11,2024/1/11 11:58,4,17596
230,PCP,S,TXO18150A4,2024/1/11,2024/1/11 11:58,4,10.5
231,PCP,S,MXFA4,2024/1/12,2024/1/12 11:09,1,17558
232,PCP,B,TXO18100A4,2024/1/12,2024/1/12 11:09,1,13.5
233,PCP,S,TXO18100M4,2024/1/12,2024/1/12 11:09,1,560
234,PCP,S,TXO18100M4,2024/1/12,2024/1/12 11:16,1,560
235,PCP,S,MXFA4,2024/1/12,2024/1/12 11:16,1,17558
236,PCP,B,TXO18100A4,2024/1/12,2024/1/12 11:16,1,14
237,PCP,S,MXFA4,2024/1/12,2024/1/12 11:20,1,17558
238,PCP,B,TXO18100A4,2024/1/12,2024/1/12 11:20,1,14.5
239,PCP,S,TXO18100M4,2024/1/12,2024/1/12 11:20,1,560
240,PCP,S,TXO18100M4,2024/1/12,2024/1/12 11:33,1,565
241,PCP,S,MXFA4,2024/1/12,2024/1/12 11:33,1,17553
242,PCP,B,TXO18100A4,2024/1/12,2024/1/12 11:33,1,13.5
243,PCP,S,MXFA4,2024/1/12,2024/1/12 12:30,1,17506
244,PCP,B,TXO18200A4,2024/1/12,2024/1/12 12:30,1,5.7
245,PCP,S,TXO18200M4,2024/1/12,2024/1/12 12:30,1,705
246,PCP,S,TXO16900A4,2024/1/15,2024/1/15 08:49,2,715
247,PCP,B,MXFA4,2024/1/15,2024/1/15 08:49,2,17608
248,PCP,B,TXO16900M4,2024/1/15,2024/1/15 08:49,2,1.8
249,PCP,S,MXFA4,2024/1/15,2024/1/15 08:52,3,17630
250,PCP,S,TXO17100M4,2024/1/15,2024/1/15 08:52,3,4
251,PCP,B,TXO17100A4,2024/1/15,2024/1/15 08:52,3,530
252,PCP,S,TXO17000A4,2024/1/15,2024/1/15 08:56,1,655
253,PCP,B,MXFA4,2024/1/15,2024/1/15 08:56,1,17648
254,PCP,B,TXO17000M4,2024/1/15,2024/1/15 08:56,1,2.7
255,PCP,B,MXFA4,2024/1/15,2024/1/15 08:56,2,17645
256,PCP,B,TXO17100M4,2024/1/15,2024/1/15 08:56,2,3.6
